StoreID,StoreName,Address,City,Region,Postcode,Country,CountryCode,Latitude,Longitude,Phone,Website,OpeningHours,Source,SourceRef,SourceURL,RetrievedAt
DEC-00019,Decathlon,1-3 Autoallee,Vosendorf,Lower Austria,2334,Austria,AT,48.1170803,16.3174871,+43720883156,https://www.scs.at/store/decathlon,Mo-Fr 09:30-19:00; Sa 09:00-18:00; Su off,OpenStreetMap,node/13130601771;node/6153962178,https://www.openstreetmap.org/node/13130601771; https://www.openstreetmap.org/node/6153962178,2026-07-11T20:29:07+00:00
DEC-00020,Decathlon,7-8 Columbusplatz,Wien,Vienna,1100,Austria,AT,48.1819428,16.3757150,,https://www.decathlon.at/content/253-magasin-columbus,Mo-Fr 09:00-19:00; Sa 09:00-18:00,OpenStreetMap,node/11379329692,https://www.openstreetmap.org/node/11379329692,2026-07-11T20:29:07+00:00
DEC-00021,Decathlon,"Rue du commerce, 20",Alleur,Wallonia,4432,Belgium,BE,50.6688000,5.5354000,+32 4 247 26 26,https://www.decathlon.be/nl/store-view/sportwinkel-alleur-0070018100181,Mo-Sa 09:00-19:30,AllThePlaces / localisateur officiel; OpenStreetMap,0070018100181;way/38159235;way/1330401708,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/way/38159235; https://www.openstreetmap.org/way/1330401708,2026-07-11T20:29:07+00:00
DEC-00022,Decathlon,Drève Olympique 50,Anderlecht,Flanders,1070,Belgium,BE,50.8192000,4.2770000,+32 2 559 10 10,https://www.decathlon.be/nl/store-view/sportwinkel-anderlecht-0070037300373,Mo-Sa 09:00-20:00,AllThePlaces / localisateur officiel; OpenStreetMap,0070037300373;way/39349625,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/way/39349625,2026-07-11T20:29:07+00:00
DEC-00023,Decathlon,"Noorderlaan 53, GPS adres = Groenendaallaan 393",Antwerpen,Flanders,2030,Belgium,BE,51.2464000,4.4177000,+32 3 544 31 00,https://www.decathlon.be/nl/store-view/sportwinkel-antwerpen-0070017300173,Mo-Sa 09:00-20:00,AllThePlaces / localisateur officiel; OpenStreetMap,0070017300173;way/51792400,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/way/51792400,2026-07-11T20:29:07+00:00
DEC-00024,Decathlon,Rue de Grass 99,Arlon,Luxembourg,6700,Belgium,BE,49.6385000,5.8861000,+32 63 24 01 60,https://www.decathlon.be/nl/store-view/sportwinkel-arlon-0070101701017,Mo-Sa 09:00-20:00,AllThePlaces / localisateur officiel; OpenStreetMap,0070101701017;way/387216681,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/way/387216681,2026-07-11T20:29:07+00:00
DEC-00025,Decathlon,Blankenbergsesteenweg 420,Brugge,Flanders,8000,Belgium,BE,51.2508000,3.2013000,+32 50 45 06 00,https://www.decathlon.be/nl/store-view/sportwinkel-brugge-0070050100501,Mo-Sa 09:00-19:30,AllThePlaces / localisateur officiel,0070050100501,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1,2026-07-11T20:29:07+00:00
DEC-00026,Decathlon,Rue de l'Evêque 30,Brussels,Brussels Capital,1000,Belgium,BE,50.8495466,4.3528936,+32 2 896 91 90,https://www.decathlon.be/nl/store-view/sportwinkel-de-brouckere-0070191001910,Mo-Sa 10:00-19:30,AllThePlaces / localisateur officiel; OpenStreetMap,0070191001910;node/5237719322,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/node/5237719322,2026-07-11T20:29:07+00:00
DEC-00027,Decathlon City,,Brussels,Brussels Capital,,Belgium,BE,50.8375861,4.3618407,+32 2 882 31 40,https://www.decathlon.be/fr/store-view/magasin-de-sports-city-porte-de-namur-0070267702677,Mo-Sa 10:00-19:30,OpenStreetMap,node/873887662,https://www.openstreetmap.org/node/873887662,2026-07-11T20:29:07+00:00
DEC-00028,Decathlon,Rue Trieu Kaisin 1,CHATELINEAU,Wallonia,6200,Belgium,BE,50.4058931,4.4976580,+32 71 24 30 40,https://www.decathlon.be/nl/store-view/sportwinkel-chatelineau-0070020700207,Mo-Sa 09:00-19:30,AllThePlaces / localisateur officiel; OpenStreetMap,0070020700207;way/108667271,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/way/108667271,2026-07-11T20:29:07+00:00
DEC-00029,Decathlon,Rue de la Poire d'Or 21,Cuesmes,Wallonia,7033,Belgium,BE,50.4460916,3.9208560,+32 65 39 42 00,https://www.decathlon.be/nl/store-view/sportwinkel-mons-0070052500525,Mo-Sa 09:00-19:30,AllThePlaces / localisateur officiel,0070052500525,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1,2026-07-11T20:29:07+00:00
DEC-00030,Decathlon,21 Rue de la Poire d'Or,Cuesmes,Wallonia,7033,Belgium,BE,50.4499026,3.9149878,,,Mo-Sa 09:00-19:30; Su off,OpenStreetMap,way/82963797,https://www.openstreetmap.org/way/82963797,2026-07-11T20:29:07+00:00
DEC-00031,Decathlon,Chaussée de Bruxelles 82,Dampremy,Wallonia,6020,Belgium,BE,50.4165330,4.4390840,+32 71 24 00 20,https://www.decathlon.be/nl/store-view/sportwinkel-charleroi-0070210802108,Mo-Sa 09:00-19:00; Su 10:00-18:00,AllThePlaces / localisateur officiel; OpenStreetMap,0070210802108;way/823823026,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/way/823823026,2026-07-11T20:29:07+00:00
DEC-00032,Decathlon,Avenue Jules Bordet,Evere,Flanders,1140,Belgium,BE,50.8774000,4.4107000,+32 2 701 96 00,https://www.decathlon.be/nl/store-view/sportwinkel-evere-0070093900939,Mo-Sa 09:00-20:00,AllThePlaces / localisateur officiel; OpenStreetMap,0070093900939;node/5217857425;node/8062289675;node/11295281254,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/node/5217857425; https://www.openstreetmap.org/node/8062289675; https://www.openstreetmap.org/node/11295281254,2026-07-11T20:29:07+00:00
DEC-00033,Decathlon,Rue de Maire 6d,Froyennes,Wallonia,7503,Belgium,BE,50.6249274,3.3697533,+32 69 49 50 22,https://www.decathlon.be/nl/store-view/sportwinkel-tournai-0070117301173,Mo-Sa 09:30-19:00,AllThePlaces / localisateur officiel; OpenStreetMap,0070117301173;way/550617465,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/way/550617465,2026-07-11T20:29:07+00:00
DEC-00034,Decathlon,Vliegtuiglaan 8,Gent,Flanders,9000,Belgium,BE,51.0740000,3.7395000,+32 9 250 99 00,https://www.decathlon.be/nl/store-view/sportwinkel-gent-0070084800848,Mo-Sa 09:00-19:30,AllThePlaces / localisateur officiel; OpenStreetMap,0070084800848;node/8357456920;node/13763553811;way/307545969;way/1361005852,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/node/8357456920; https://www.openstreetmap.org/node/13763553811; https://www.openstreetmap.org/way/307545969; https://www.openstreetmap.org/way/1361005852,2026-07-11T20:29:07+00:00
DEC-00035,Decathlon,Rue de Huy 54,HANNUT,Wallonia,4280,Belgium,BE,50.6647000,5.0918000,+32 19 65 60 46,https://www.decathlon.be/nl/store-view/sportwinkel-hannut-0070110301103,Mo-Sa 09:30-18:30,AllThePlaces / localisateur officiel; OpenStreetMap,0070110301103;node/12432825396,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/node/12432825396,2026-07-11T20:29:07+00:00
DEC-00036,Decathlon,13 Chaussée d'Ixelles,Ixelles,Brussels Capital,1050,Belgium,BE,50.8327754,4.3666910,+32 2 882 31 40,https://www.decathlon.be/nl/store-view/sportwinkel-city-porte-de-namur-0070267702677,Mo-Sa 10:00-19:30,AllThePlaces / localisateur officiel,0070267702677,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1,2026-07-11T20:29:07+00:00
DEC-00037,Decathlon,1 Beneluxlaan,Kortrijk,Flanders,8500,Belgium,BE,50.7999932,3.2821882,+32 56 24 36 60,https://www.decathlon.be/nl/store-view/sportwinkel-kortrijk-0070038400384,Mo-Sa 09:00-19:00; Su closed,OpenStreetMap,way/117968577,https://www.openstreetmap.org/way/117968577,2026-07-11T20:29:07+00:00
DEC-00038,Decathlon,Beneluxlaan 1,Kortrijk,Flanders,8500,Belgium,BE,50.8023000,3.2792000,+32 56 24 36 60,https://www.decathlon.be/nl/store-view/sportwinkel-kortrijk-0070038400384,Mo-Sa 09:00-19:00,AllThePlaces / localisateur officiel,0070038400384,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1,2026-07-11T20:29:07+00:00
DEC-00039,Decathlon,Kuringersteenweg 493,Kuringen,Flanders,3511,Belgium,BE,50.9434050,5.2852180,+32 11 29 07 00,https://www.decathlon.be/nl/store-view/sportwinkel-hasselt-0070101601016,Mo-Sa 09:00-20:00,AllThePlaces / localisateur officiel; OpenStreetMap,0070101601016;node/11290712675;way/467727579,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/node/11290712675; https://www.openstreetmap.org/way/467727579,2026-07-11T20:29:07+00:00
DEC-00040,Decathlon,Antwerpsesteenweg 69B,LOCHRISTI,Flanders,9080,Belgium,BE,51.0814000,3.7892000,+32 9 337 04 55,https://www.decathlon.be/nl/store-view/sportwinkel-lochristi-0070110401104,Mo-Sa 09:30-18:30,AllThePlaces / localisateur officiel,0070110401104,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1,2026-07-11T20:29:07+00:00
DEC-00041,Decathlon,Boulevard Michel Debauque 10,La Louvière,Wallonia,7100,Belgium,BE,50.4854000,4.1918000,+32 64 23 28 00,https://www.decathlon.be/nl/store-view/sportwinkel-la-louviere-0070044600446,Mo-Sa 09:30-19:00,AllThePlaces / localisateur officiel; OpenStreetMap,0070044600446;way/161915065,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/way/161915065,2026-07-11T20:29:07+00:00
DEC-00042,Decathlon,"1, Quai des Vennes",Liege,Wallonia,4020,Belgium,BE,50.6157466,5.5937472,+32 4 232 39 00,https://www.decathlon.be/nl/store-view/sportwinkel-belle-ile-0070031900319,Mo-Th 10:00-19:00; Fr 10:00-20:00; Sa 10:00-19:00,AllThePlaces / localisateur officiel; OpenStreetMap,0070031900319;way/1102401840,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/way/1102401840,2026-07-11T20:29:07+00:00
DEC-00043,Decathlon,Antwerpsesteenweg 479,Lier,Flanders,2500,Belgium,BE,51.1454649,4.5421609,+32 3 302 46 60,https://www.decathlon.be/nl/store-view/sportwinkel-lier-0070210502105,Mo-Fr 10:00-19:00; Sa 09:00-19:00,AllThePlaces / localisateur officiel,0070210502105,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1,2026-07-11T20:29:07+00:00
DEC-00044,Decathlon,479 Antwerpsesteenweg,Lier,Flanders,2500,Belgium,BE,51.1478204,4.5352952,+32 3 302 46 60,,"Mo-Fr 10:00-19:00; Sa 09:00-18:00; Su,PH off",OpenStreetMap,node/7884503068,https://www.openstreetmap.org/node/7884503068,2026-07-11T20:29:07+00:00
DEC-00045,Decathlon Lochristi,69B Antwerpse Steenweg,Lochristi,Flanders,9080,Belgium,BE,51.0887832,3.8123480,+32 9 337 04 55,https://www.decathlon.be/nl/store-view/sportwinkel-lochristi-0070110401104,Mo-Sa 9:30-18:30,OpenStreetMap,node/6587347705,https://www.openstreetmap.org/node/6587347705,2026-07-11T20:29:07+00:00
DEC-00046,Decathlon,Buitensingel 13,Lommel,Flanders,3920,Belgium,BE,51.2223460,5.3046790,+32 11 49 47 50,https://www.decathlon.be/nl/store-view/sportwinkel-lommel-0070210402104,Mo-Sa 10:00-18:00,AllThePlaces / localisateur officiel; OpenStreetMap,0070210402104;node/5939852663,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/node/5939852663,2026-07-11T20:29:07+00:00
DEC-00047,Decathlon,270 Chaussée de Namur,Louvain-la-Neuve,Wallonia,1300,Belgium,BE,50.6908408,4.6186206,+32 10 23 22 00,https://www.decathlon.be/,Mo-Sa 09:00-19:30; Su 10:00-18:00,OpenStreetMap,way/130231737,https://www.openstreetmap.org/way/130231737,2026-07-11T20:29:07+00:00
DEC-00048,Decathlon,11 Avenue des Dessus-de-Lives,Loyers,Wallonia,5101,Belgium,BE,50.4627000,4.9239000,+32 81 32 65 00,https://www.decathlon.be/nl/store-view/sportwinkel-namur-0070065900659,Mo-Sa 09:00-19:30,AllThePlaces / localisateur officiel; OpenStreetMap,0070065900659;way/404614318,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/way/404614318,2026-07-11T20:29:07+00:00
DEC-00049,Decathlon,Kolenmijn Limburg-Maaslaan 3,MAASMECHELEN,Flanders,3630,Belgium,BE,50.9906000,5.7051000,+32 89 76 92 00,https://www.decathlon.be/nl/store-view/sportwinkel-maasmechelen-0070077100771,Mo-Sa 10:00-19:00; Su 10:00-18:00,AllThePlaces / localisateur officiel,0070077100771,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1,2026-07-11T20:29:07+00:00
DEC-00050,Decathlon,3 Kolenmijn Limburg-Maaslaan,Maasmechelen,Flanders,,Belgium,BE,50.9979456,5.7066568,,,,OpenStreetMap,way/1454003162,https://www.openstreetmap.org/way/1454003162,2026-07-11T20:29:07+00:00
DEC-00051,Decathlon,"Rue du Parc Industriel, 16",Marche-En-Famenne,Wallonia,6900,Belgium,BE,50.2220660,5.3306540,+32 84 39 49 90,https://www.decathlon.be/nl/store-view/sportwinkel-marche-en-famenne-0070158301583,Mo-Sa 09:00-19:00,AllThePlaces / localisateur officiel; OpenStreetMap,0070158301583;node/6358781225,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/node/6358781225,2026-07-11T20:29:07+00:00
DEC-00052,Decathlon,Chaussée de Mons 18A,Nivelles,Wallonia,1400,Belgium,BE,50.5891765,4.3099118,+32 67 47 58 70,https://www.decathlon.be/nl/store-view/sportwinkel-nivelles-0070210602106,Mo-Th 09:30-19:00; Fr 09:30-20:00; Sa 09:30-19:00,AllThePlaces / localisateur officiel,0070210602106,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1,2026-07-11T20:29:07+00:00
DEC-00053,Decathlon,,Nivelles,Wallonia,,Belgium,BE,50.5925354,4.3089262,,,,OpenStreetMap,node/7513740687,https://www.openstreetmap.org/node/7513740687,2026-07-11T20:29:07+00:00
DEC-00054,Decathlon,Lammerdries - Winkelstraat 4 B1,OLEN,Flanders,2250,Belgium,BE,51.1440000,4.8599000,+32 14 36 92 00,https://www.decathlon.be/nl/store-view/sportwinkel-olen-0070065700657,Mo-Sa 10:00-19:00,AllThePlaces / localisateur officiel,0070065700657,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1,2026-07-11T20:29:07+00:00
DEC-00055,Decathlon,4 Lammerdries-Winkelstraat,Olen,Flanders,,Belgium,BE,51.1515766,4.9049243,+32 14 36 92 00,https://www.decathlon.be/nl/store-view/sportwinkel-olen-0070065700657,Mo-Sa 10:00-19:00,OpenStreetMap,node/6048831342,https://www.openstreetmap.org/node/6048831342,2026-07-11T20:29:07+00:00
DEC-00056,Decathlon,"Torhoutsesteenweg 699, /",Oostende,Flanders,8400,Belgium,BE,51.1937000,2.9010000,+32 59 79 00 30,https://www.decathlon.be/nl/store-view/sportwinkel-oostende-0070223702237,Mo-Sa 10:00-19:00,AllThePlaces / localisateur officiel; OpenStreetMap,0070223702237;node/9945725000,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/node/9945725000,2026-07-11T20:29:07+00:00
DEC-00057,Decathlon,Groenestraat 250,Roeselare,Flanders,8800,Belgium,BE,50.9367000,3.0860000,+32 51 27 20 70,https://www.decathlon.be/nl/store-view/sportwinkel-roeselare-0070031400314,Mo-Sa 10:00-19:00,AllThePlaces / localisateur officiel,0070031400314,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1,2026-07-11T20:29:07+00:00
DEC-00058,Decathlon,250 Groenestraat,Roeselare,Flanders,8800,Belgium,BE,50.9402727,3.1008412,+32 51 27 20 70,,Mo-Sa 09:00-19:30,OpenStreetMap,way/135190725,https://www.openstreetmap.org/way/135190725,2026-07-11T20:29:07+00:00
DEC-00059,Decathlon,César Snoecklaan 51,Ronse,Flanders,9600,Belgium,BE,50.7457000,3.5864000,+32 55 20 75 83,https://www.decathlon.be/nl/store-view/sportwinkel-ronse-0070110101101,Mo-Sa 09:30-18:30,AllThePlaces / localisateur officiel; OpenStreetMap,0070110101101;way/395130019,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/way/395130019,2026-07-11T20:29:07+00:00
DEC-00060,Decathlon,Boomsesteenweg 37,Schelle,Flanders,2627,Belgium,BE,51.1186000,4.3731000,+32 3 443 20 80,https://www.decathlon.be/nl/store-view/sportwinkel-schelle-0070038300383,Mo-Sa 09:00-19:00,AllThePlaces / localisateur officiel; OpenStreetMap,0070038300383;way/43591824,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/way/43591824,2026-07-11T20:29:07+00:00
DEC-00061,Decathlon,Tiensesteenweg 172,Sint-Truiden,Flanders,3800,Belgium,BE,50.8142000,5.1651000,+32 11 78 46 60,https://www.decathlon.be/nl/store-view/sportwinkel-sint-truiden-0070108701087,Mo-Sa 09:30-18:30,AllThePlaces / localisateur officiel; OpenStreetMap,0070108701087;node/10637892114,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/node/10637892114,2026-07-11T20:29:07+00:00
DEC-00062,Decathlon,,Tournai,Wallonia,,Belgium,BE,50.6126734,3.3970444,,,,OpenStreetMap,node/8583885749,https://www.openstreetmap.org/node/8583885749,2026-07-11T20:29:07+00:00
DEC-00063,Decathlon,"Steenweg Op Gierle, 221",Turnhout,Flanders,2300,Belgium,BE,51.3135000,4.9256000,+32 14 44 32 00,https://www.decathlon.be/nl/store-view/sportwinkel-turnhout-0070084900849,Mo-Sa 09:00-19:00,AllThePlaces / localisateur officiel; OpenStreetMap,0070084900849;way/289989965;way/427771595,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/way/289989965; https://www.openstreetmap.org/way/427771595,2026-07-11T20:29:07+00:00
DEC-00064,Decathlon,Rue De La Station 8 C/23,Verviers,Wallonia,4800,Belgium,BE,50.5876457,5.8503658,+32 87 39 10 00,https://www.decathlon.be/nl/store-view/sportwinkel-verviers-0070076400764,Mo-Sa 09:00-19:00,AllThePlaces / localisateur officiel; OpenStreetMap,0070076400764;way/116574358,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1; https://www.openstreetmap.org/way/116574358,2026-07-11T20:29:07+00:00
DEC-00065,Decathlon,270 Chaussée de Namur,Wavre,Wallonia,1300,Belgium,BE,50.6956000,4.6156000,+32 10 23 22 00,https://www.decathlon.be/nl/store-view/sportwinkel-wavre-0070065600656,Mo-Sa 09:00-19:30,AllThePlaces / localisateur officiel,0070065600656,https://api.woosmap.com/stores?key=woos-9f8c8ff6-ebbf-34aa-ae1c-437fde9f85e7&stores_by_page=300&page=1,2026-07-11T20:29:07+00:00
DEC-00066,Decathlon,10 Schoondonkweg,Willebroek,Flanders,2830,Belgium,BE,51.0448595,4.3717142,+32 3 860 60 30,,,OpenStreetMap,way/534046058,https://www.openstreetmap.org/way/534046058,2026-07-11T20:29:07+00:00
